CO2(g/s),Velocity(km/h),Acceleration(m/s2),EngineLoad(%),EngineRPM(rpm),ThrottlePosition(Manifold)(%),TurboBoost&VacuumGauge(psi), Altitude(m)
0,0,0,28.62745094,764.75,12.94117641,-9.76871681,233.1560489
0.206607502,0,0,30.58823586,744.25,12.94117641,-9.91375446,233.1560489
0.263189841,0,0,30.58823586,745.5,12.94117641,-9.91375446,233.1560489
0,0,0,30.98039246,749,12.94117641,-9.91375446,233.1560489
0.236196011,0,0,31.76470566,743.25,12.94117641,-9.91375446,233.1560489
0.042246634,0,0,31.76470566,747.75,12.94117641,-9.91375446,233.1560489
0.259976586,0,0,31.37254906,747.5,12.94117641,-9.76871681,233.1560489
0.165269537,0,0,30.98039246,758,12.94117641,-9.76871681,233.1560489
0.065995243,0,0,29.80392265,752.5,12.94117641,-9.76871681,233.1560489
0.202664073,0,0,30.19607925,746.75,12.94117641,-9.76871681,233.1560489
0.278504659,0,0,29.41176605,760,12.94117641,-9.91375446,233.1560489
0.186327011,0,0,31.37254906,737.5,12.94117641,-9.91375446,233.1560489
0.01165424,0,0,30.98039246,745.25,12.94117641,-9.91375446,233.1560489
0.10367511,0,0,30.98039246,743.75,12.94117641,-9.91375446,233.1560489
0.277047048,0,0,31.37254906,743.75,12.94117641,-9.91375446,233.1560489
0,0,0,30.58823586,747.75,12.94117641,-9.91375446,233.1560489
0.226293298,0,0,31.37254906,746,12.94117641,-9.76871681,233.1560489
0.090079969,0,0,29.80392265,763.5,12.94117641,-9.76871681,233.1560489
0,0,0,29.80392265,757.5,12.94117641,-9.76871681,233.1560489
0.325083568,0,0,30.19607925,752.75,12.94117641,-9.76871681,233.1560489
0.113640431,0,0,30.19607925,752.75,12.94117641,-9.76871681,233.1560489
0,0,0,29.80392265,743.25,12.94117641,-9.91375446,233.1560489
0.32162852,0,0,31.76470566,742.5,12.94117641,-9.91375446,233.1560489
0.335736581,0,0,30.98039246,744.25,12.94117641,-9.91375446,233.1560489
0.327271745,0,0,30.98039246,746.75,12.94117641,-9.91375446,233.1560489
0.401608867,0,0,31.37254906,747.75,12.94117641,-9.91375446,233.1560489
0.186567839,0,0,30.58823586,750.25,12.94117641,-9.76871681,233.1560489
0.344980446,0,0,27.05882454,785.5,12.94117641,-9.76871681,233.1560489
